codigo,fuente_fin_Dep,inicial,vigente,compromiso,obligacion,pago6
2018011000719,---Cundinamarca,2.162.346.768,2.162.346.768,2.160.450.450,1.885.475.233,1.840.181.276
2018011000719,---Choco,559.227.613,559.227.613,558.737.186,487.622.906,475.908.951
2018011000719,---Huila,689.714.055,689.714.055,689.109.195,601.401.583,586.954.372
2018011000719,---Guajira,279.613.807,279.613.807,279.368.593,243.811.453,237.954.476
2018011000719,---Magdalena,559.227.613,559.227.613,558.737.186,487.622.906,475.908.951
2018011000719,---Meta,540.586.691,540.586.691,540.112.611,471.368.807,460.045.318
2018011000719,---Nariño,1.193.018.907,1.193.018.907,1.191.972.663,1.040.262.198,1.015.272.429
2018011000719,---N. Santander,745.636.816,745.636.816,744.982.913,650.163.873,634.545.267
2018011000719,---Quindio,223.691.046,223.691.046,223.494.875,195.049.163,190.363.581
2018011000719,---Risaralda,260.972.885,260.972.885,260.744.019,227.557.355,222.090.843
2018011000719,---Santander,1.621.760.075,1.621.760.075,1.620.337.836,1.414.106.424,1.380.135.956
2018011000719,---Sucre,484.663.930,484.663.930,484.238.893,422.606.517,412.454.423
2018011000719,---Tolima,876.123.258,876.123.258,875.354.922,763.942.550,745.590.688
2018011000719,---Valle,782.918.657,782.918.657,782.232.059,682.672.067,666.272.531
